product_code,product_category,product_type,multiplication_factor,product_type_outcome
pp110,"Herbs, herbal teas & spices",Achochilla (Cyclanthera tenuisepala),1,
pp111,"Herbs, herbal teas & spices","Agave (Agave tequilana, A. salmiana)",1,
pp112,"Herbs, herbal teas & spices",Ajowan (Trachyspermum ammi),1,
pp113,"Herbs, herbal teas & spices",Allspice (Pimenta dioica),1,
pp114,"Herbs, herbal teas & spices",Almond flower (Prunus dulcis var. dulcis),1,
pp115,"Herbs, herbal teas & spices","Aloe (Aloe vera, A. barbadensis)",1,
pp116,"Herbs, herbal teas & spices",Anis myrtle (Syzygium anisatum),1,
pp117,"Herbs, herbal teas & spices",Anise (Pimpinella anisum),1,
pp118,"Herbs, herbal teas & spices",Apricot seed (Prunus armeniaca L.),1,
pp119,"Herbs, herbal teas & spices",Asafoetida (Ferula assa-foetida),1,
pp120,"Herbs, herbal teas & spices","Basil (Ocimum basilicum, O. gratissimum)",1,
pp121,"Herbs, herbal teas & spices",Black caraway / black onions seeds (Nigella sativa),1,
pp122,"Herbs, herbal teas & spices",Black mulberry leaf (Morus nigra),1,
pp123,"Herbs, herbal teas & spices",Black Pepper (Piper nigrum),1,
pp124,"Herbs, herbal teas & spices",Blackberry leaf (Rubus fruticosus),1,
pp125,"Herbs, herbal teas & spices",Blackcurrant leaf (Ribes nigrum),1,
pp126,"Herbs, herbal teas & spices",Brazil pepper (Schinus terebinthifolius),1,
pp127,"Herbs, herbal teas & spices","Camomile (Matricaria recutita, Anthemis nobilis)",1,
pp128,"Herbs, herbal teas & spices",Caper (Capparis spinosa),1,
pp129,"Herbs, herbal teas & spices",Caraway (Carum carvi),1,
pp130,"Herbs, herbal teas & spices",Cardamom (Elettaria & Amonum species),1,
pp131,"Herbs, herbal teas & spices",Cardamon fruit (Elettaria and Amonum species),1,
pp132,"Herbs, herbal teas & spices",Celery (Apium graveolens),1,
pp133,"Herbs, herbal teas & spices",Centalla (Centella asiatica),1,
pp134,"Herbs, herbal teas & spices",Chervil (Anthriscus cerefolium),1,
pp135,"Herbs, herbal teas & spices",Chia seeds (Salvia hispanica),1,
pp136,"Herbs, herbal teas & spices",Chicory (Cichorium intybus),1,
pp137,"Herbs, herbal teas & spices",Chili pepper (Capsicum species),1,
pp138,"Herbs, herbal teas & spices","Chives (Allium schoenoprasum, A. odoratum)",1,
pp139,"Herbs, herbal teas & spices","Cinnamon (Cinnamomum zeylanicum, C. cassia)",1,
pp140,"Herbs, herbal teas & spices","Citronella grass (Cymbopogon winterianus, C. nardus)",1,
pp141,"Herbs, herbal teas & spices",Clove (Syzygium aromaticum),1,
pp142,"Herbs, herbal teas & spices",Coriander (Coriandrum sativum),1,
pp143,"Herbs, herbal teas & spices",Cornflower (Centaurea cyanus),1,
pp144,"Herbs, herbal teas & spices",Cumin (Cuminum cyminum),1,
pp145,"Herbs, herbal teas & spices",Curry leaves/ Sweet Neem leaves (Murraya koenigii),1,
pp146,"Herbs, herbal teas & spices",Dandelion (Taraxatum species),1,
pp147,"Herbs, herbal teas & spices",Dill (Anethum graveolens),1,
pp148,"Herbs, herbal teas & spices",Fennel (Foeniculum vulgare),1,
pp149,"Herbs, herbal teas & spices",Fenugreek (Trigonella foenum-graecum),1,
pp150,"Herbs, herbal teas & spices","Galangal (Kaempferia galanga, Languas galanga, L. officinarum, Alpinia galanga, A.officinarum)",1,
pp151,"Herbs, herbal teas & spices","Garlic chive (Allium tuberosum, A. ramosum)",1,
pp152,"Herbs, herbal teas & spices","Geranium (Pelargonium odoratissimum, P. graveolens)",1,
pp153,"Herbs, herbal teas & spices",Ginger (Zingiber officicinale),1,
pp154,"Herbs, herbal teas & spices",Grape leaf (Vitis vinifera),1,
pp155,"Herbs, herbal teas & spices",Guayusa / Wayusa (Ilex guayusa),1,
pp156,"Herbs, herbal teas & spices",Hibiscus (Hibiscus sabdariffa),1,
pp157,"Herbs, herbal teas & spices",Honeybush (Cyclopia species),1,
pp158,"Herbs, herbal teas & spices",Jasmine (Jasminum species),1,
pp159,"Herbs, herbal teas & spices",Juniper berry (Juniperus communis),1,
pp160,"Herbs, herbal teas & spices",Kokam (Garcinia indica),1,
pp161,"Herbs, herbal teas & spices",Lavender (Lavendula species),1,
pp162,"Herbs, herbal teas & spices",Lemon balm (Mellisa officinalis),1,
pp163,"Herbs, herbal teas & spices",Lemon myrtle (Backhousia citriodora),1,
pp164,"Herbs, herbal teas & spices",Lemon verbena (Aloysia citrodora),1,
pp165,"Herbs, herbal teas & spices","Lemongrass (Cympobogon citratus, C. flexuosus)",1,
pp166,"Herbs, herbal teas & spices",Liquorice (Glycyrrhiza glabra),1,
pp167,"Herbs, herbal teas & spices","Long Pepper (Piper longum, P. retrofractum, P. officinarum)",1,
pp168,"Herbs, herbal teas & spices",Lovage herb (Levisticum officinale),1,
pp169,"Herbs, herbal teas & spices",Maca (Lepidium peruvianum),1,
pp170,"Herbs, herbal teas & spices",Mace (Myristica fragrans),1,
pp171,"Herbs, herbal teas & spices",Mallow leaf (Malva silvestris),1,
pp172,"Herbs, herbal teas & spices",Marigold flowers (Calendula officinalis),1,
pp173,"Herbs, herbal teas & spices",Marjoram (Origanum majorana),1,
pp174,"Herbs, herbal teas & spices",Marjoram fruit (Origanum majorana),1,
pp175,"Herbs, herbal teas & spices",Mint (Mentha species),1,
pp176,"Herbs, herbal teas & spices",Morello cherry stem (Prunus cerasus),1,
pp177,"Herbs, herbal teas & spices",Mullein leaf (Verbascum spec.),1,
pp178,"Herbs, herbal teas & spices",Nettle (Urtica species),1,
pp179,"Herbs, herbal teas & spices",Nutmeg (Myristica fragrans),1,
pp180,"Herbs, herbal teas & spices",Orange leaves (Citrus aurantium),1,
pp181,"Herbs, herbal teas & spices","Oregano (Origanum vulgare, O. majoricum)",1,
pp182,"Herbs, herbal teas & spices",Parsley (Petroselinum crispum),1,
pp183,"Herbs, herbal teas & spices","Pennywort, Gotu Kola (Centrella asiatica)",1,
pp184,"Herbs, herbal teas & spices",Pomegranate (Punica granatum),1,
pp185,"Herbs, herbal teas & spices",Raspberry leaves (Rubus idaeus),1,
pp186,"Herbs, herbal teas & spices",Red henna (Lawsonia inermis),1,
pp187,"Herbs, herbal teas & spices",Rooibos (Aspalathus linearis),1,
pp188,"Herbs, herbal teas & spices",Rosehip (Rosa species),1,
pp189,"Herbs, herbal teas & spices",Roselle (Hibiscus sabdariffa),1,
pp190,"Herbs, herbal teas & spices",Rosemary (Rosmarinus officinalis),1,
pp191,"Herbs, herbal teas & spices",Safflower flower (Carthamus tinctorius),1,
pp192,"Herbs, herbal teas & spices",Saffron (Crocus sativus),1,
pp193,"Herbs, herbal teas & spices","Sage (Salvia officinalis, S.sclarea)",1,
pp194,"Herbs, herbal teas & spices","Savory (Satureja hortensis, S. montana)",1,
pp195,"Herbs, herbal teas & spices",Senna Italica/ Neutral Henna Cassia obovata),1,
pp196,"Herbs, herbal teas & spices",Sesame (Sesamum indicum),1,
pp197,"Herbs, herbal teas & spices",Spinach leaf (Spinacia oleracea),1,
pp198,"Herbs, herbal teas & spices",Star anise (Illicium verum),1,
pp199,"Herbs, herbal teas & spices",Stevia (Stevia species),1,
pp200,"Herbs, herbal teas & spices",Sweet cherry stem (Prunus avium ssp. avium),1,
pp201,"Herbs, herbal teas & spices",Tarragon (Artemisia dracunculus),1,
pp202,"Herbs, herbal teas & spices",Tea Tree (Melaleuca alternifolia),1,
pp203,"Herbs, herbal teas & spices",Thyme (Thymus species),1,
pp204,"Herbs, herbal teas & spices",Turmeric (Curcuma species),1,
pp205,"Herbs, herbal teas & spices","Vanilla (Vanilla mexicana, V. fragrans, V. planifolia)",1,
pp206,"Herbs, herbal teas & spices",Vetiver (Chrysopogon zizanioides),1,
pp207,"Herbs, herbal teas & spices",Walnut leaf (Juglans regia),1,
pp208,"Herbs, herbal teas & spices",White mulberry leaf (Morus alba),1,
pp209,"Herbs, herbal teas & spices",White Pepper (Piper nigrum),1,
pp210,"Herbs, herbal teas & spices",Wild strawberry leaf (Fragaria vesca),1,
pp211,"Herbs, herbal teas & spices",Woodruff (Galium odoratum),1,
pp212,"Herbs, herbal teas & spices",Wormwood (Artemisia absinthium),1,
pp213,"Herbs, herbal teas & spices",Other [Specify],1,
pp214,Honey,A Quality,1,
pp215,Honey,B Quality,1,
pp216,Honey,Other [Specify],1,
pp217,Nuts,Almonds,1,
pp218,Nuts,Apricot Seeds,1,
pp219,Nuts,Brazil Nut,1,
pp220,Nuts,Cashew Nut,1,Raw Cashew Nut
pp221,Nuts,Macadamia Nut,1,
pp222,Nuts,Peanut,1,
pp223,Nuts,Walnut,1,
pp224,Nuts,Other [Specify],1,
pp225,Oilseeds and Oleaginous fruit,Argan Oil,1,
pp226,Oilseeds and Oleaginous fruit,Coconut,0.00120048,Tons of coconut
pp227,Oilseeds and Oleaginous fruit,Olive Oil,1,
pp228,Oilseeds and Oleaginous fruit,Olives,1,
pp229,Oilseeds and Oleaginous fruit,Sesame oil,1,
pp230,Oilseeds and Oleaginous fruit,Sesame Seed,1,
pp231,Oilseeds and Oleaginous fruit,Shea Butter,1,
pp232,Oilseeds and Oleaginous fruit,Soybeans,1,
pp233,Oilseeds and Oleaginous fruit,Other [Specify],1,
pp234,Pulp,Acai,1,
pp235,Pulp,Araza,1,
pp236,Pulp,Banana,1,
pp237,Pulp,Carambola,1,
pp238,Pulp,Guava,1,
pp239,Pulp,Lychee,1,
pp240,Pulp,Mango,1,
pp241,Pulp,Other [Specify],1,
pp242,Cereals,Quinoa,1,
pp243,Cereals,Other [Specify],1,
pp244,Rice,Basmati: Pusa,1,
pp245,Rice,Basmati: Traditional,1,
pp246,Rice,Black petit poussin & White petit poussin,1,
pp247,Rice,Glutinous rice: black or violet,1,
pp248,Rice,Glutinous rice: white,1,
pp249,Rice,Jasmine Rice & Red Jasmine Rice,1,
pp250,Rice,Normal longgrain rice,1,
pp251,Rice,Sarbati,1,
pp252,Rice,Traditional varieties from Sri Lanka,1,
pp253,Rice,Other [Specify],1,
pp254,Seed cotton,Gossypium hirsutum/ herbaceum/ arboreum,1,Seed cotton
pp255,Seed cotton,"Gossypium barbadense (e.g. Giza, PIMA)",1,Seed cotton
pp256,Seed cotton,Other [Specify],1,Seed cotton
pp257,Shrimps,M. rosenbergii,1,
pp258,Shrimps,Other [Specify],1,
pp259,Sportsballs,Sportsballs,1,
pp260,Sportsballs,Other [Specify],1,
pp261,Tea,Camellia sinensis: Green leaf,0.22222,Made Tea
pp262,Tea,Other [Specify],1,
pp263,Timber,Timber,1,
pp264,Timber,Other [Specify],1,
pp265,Vegetables,Artichoke,1,
pp266,Vegetables,Asparagus,1,
pp267,Vegetables,Baby corn,1,
pp268,Vegetables,Barlotti Beans,1,
pp269,Vegetables,Beans & Green Beans (except French beans),1,
pp270,Vegetables,Beet,1,
pp271,Vegetables,Broccoli,1,
pp272,Vegetables,Cabbage,1,
pp273,Vegetables,Carrot,1,
pp274,Vegetables,"Cassava, Mariot root, Tapioca root",1,
pp275,Vegetables,Cauliflower,1,
pp276,Vegetables,Celery,1,
pp277,Vegetables,Chard,1,
pp278,Vegetables,Cowpeas (leaves),1,
pp279,Vegetables,Cucumber,1,
pp280,Vegetables,Eggplant,1,
pp281,Vegetables,French Beans,1,
pp282,Vegetables,Garden peas,1,
pp283,Vegetables,Garlic,1,
pp284,Vegetables,Gherkin,1,
pp285,Vegetables,Kidney Beans,1,
